,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
182,,,https://ekb.cian.ru/sale/flat/306880819/,Екатеринбург,sale,flat,10,24,2,63.4,-1,0,8240021,2027,-1,"Монолитно-кирпичный, монолитный",-1,Чистовая,-1,-1,78003330393,Кировский, Сахалинская,20,Машиностроителей,Уральский
183,ДИККИТ,developer,https://ekb.cian.ru/sale/flat/308038693/,Екатеринбург,sale,flat,3,8,2,73.1,-1,0,8187200,2025,-1,-1,-1,Предчистовая,-1,-1,73432261665,Орджоникидзевский,,,Проспект Космонавтов,Зеленая Горка ЖК
184,Унистрой,developer,https://ekb.cian.ru/sale/flat/300220692/,Екатеринбург,sale,flat,16,27,2,61.47,-1,0,8214000,2025,-1,-1,-1,Предчистовая,"23,2 м²","18,9 м²",73432261730,Чкаловский, Походная,12,Ботаническая,Небосклоны
185,Страна Девелопмент,developer,https://ekb.cian.ru/sale/flat/306450031/,Екатеринбург,sale,flat,3,32,2,47.03,-1,0,8195000,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, черновая, чистовая, чистовая с мебелью",-1,-1,73432261784,Октябрьский,Жилой комплекс Сибирский сад,,Ботаническая,Сибирский сад
186,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/309079651/,Екатеринбург,sale,flat,2,22,2,58.02,-1,0,8198000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",-1,-1,73432260867,, Вильгельма де Геннина,23к1,Чкаловская,Первый Академ
187,PRINZIP,developer,https://ekb.cian.ru/sale/flat/307670101/,Екатеринбург,sale,flat,1,9,2,62.9,-1,0,8177000,2024,-1,-1,-1,Без отделки,-1,-1,73432261787,Ленинский,,,Чкаловская,Ньютон Парк ЖК
188,Синара–Девелопмент,developer,https://ekb.cian.ru/sale/flat/299469433/,Екатеринбург,sale,flat,2,15,2,65.3,-1,0,8169000,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","28,5 м²","18,2 м²",73432261747,Октябрьский,Новокольцовский мкр,3,Ботаническая,Новокольцовский ЖК
189,Синара–Девелопмент,developer,https://ekb.cian.ru/sale/flat/299469411/,Екатеринбург,sale,flat,14,15,2,56.0,-1,0,8233000,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","22,1 м²","17,4 м²",73432261747,Октябрьский,Новокольцовский мкр,3,Ботаническая,Новокольцовский ЖК
190,РС-Девелопмент,developer,https://ekb.cian.ru/sale/flat/292492318/,Екатеринбург,sale,flat,11,18,2,58.3,-1,0,8367642,2025,-1,-1,-1,Предчистовая,-1,-1,73432260930,Кировский,,,Машиностроителей,7Я ЖК
191,PRINZIP,developer,https://ekb.cian.ru/sale/flat/294818974/,Екатеринбург,sale,flat,11,12,2,57.4,-1,0,8323000,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая",-1,-1,73432261787,Ленинский, Краснолесья,10/5,Чкаловская,Ньютон Парк
192,Формула строительства,developer,https://ekb.cian.ru/sale/flat/300117795/,Екатеринбург,sale,flat,2,25,2,55.61,-1,0,8397110,2025,-1,Монолитно-кирпичный,-1,Чистовая,-1,-1,73432260847,Верх-Исетский, Плотников,,Площадь 1905 года,Жилой квартал 
193,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297963/,Екатеринбург,sale,flat,4,18,2,56.3,-1,0,8331500,2026,-1,-1,-1,Без отделки,"39,3 м²","3,8 м²",73432261752,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК
194,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/308041459/,Екатеринбург,sale,flat,19,19,2,50.5,-1,0,8375200,2025,-1,-1,-1,Предчистовая,21 м²,"13,3 м²",73432260767,Орджоникидзевский, Учителей,33,Машиностроителей,Основинские кварталы
195,Девелопмент-юг,developer,https://ekb.cian.ru/sale/flat/300977886/,Екатеринбург,sale,flat,2,25,2,64.1,-1,0,8397100,2026,-1,-1,-1,С отделкой,"27,5 м²","16,3 м²",73432261769,,,,Чкаловская,А Плюс ЖК
199,Брусника,developer,https://ekb.cian.ru/sale/flat/308712314/,Екатеринбург,sale,flat,7,9,2,64.0,-1,0,8470000,2027,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261644,,,,Ботаническая,Брусника в Академическом ЖК
200,Проспект Групп,developer,https://ekb.cian.ru/sale/flat/296386847/,Екатеринбург,sale,flat,13,25,2,63.67,-1,0,8498040,2025,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432260878,Кировский, Владимира Высоцкого,7/1,Динамо,Гранит
201,Проспект Групп,developer,https://ekb.cian.ru/sale/flat/296386424/,Екатеринбург,sale,flat,3,24,2,64.83,-1,0,8499492,2025,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432260878,Кировский, Владимира Высоцкого,7/4,Динамо,Гранит
202,УГМК-Застройщик,developer,https://ekb.cian.ru/sale/flat/309002189/,Екатеринбург,sale,flat,12,22,2,44.4,-1,0,8418000,2025,-1,-1,-1,Неизвестно,-1,-1,73432179080,Орджоникидзевский,,,Проспект Космонавтов,Изумрудный Бор ЖК
203,Союз,developer,https://ekb.cian.ru/sale/flat/302337439/,Екатеринбург,sale,flat,21,25,2,57.98,-1,0,8530000,2023,-1,-1,-1,С отделкой,"28,7 м²","11,6 м²",73432261738,, Краснолесья,96,Чкаловская,Академ-Центр
204,АТОМ,developer,https://ekb.cian.ru/sale/flat/304055859/,Екатеринбург,sale,flat,2,26,2,85.52,-1,0,8500000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","22,3 м²","17,9 м²",73432267519,, Академика Парина,,Чкаловская,Речной квартал
205,,,https://ekb.cian.ru/sale/flat/302304387/,Екатеринбург,sale,flat,6,24,2,66.1,-1,0,8526900,2022,-1,"Монолитно-кирпичный, монолитный",-1,Чистовая,-1,-1,78003330393,Кировский, Блюхера,93,Машиностроителей,Уральский
206,Партнер,developer,https://ekb.cian.ru/sale/flat/308985361/,Екатеринбург,sale,flat,4,4,2,74.8,-1,0,8510000,2025,-1,-1,-1,Чистовая,-1,-1,73432267520,Чкаловский,,,Ботаническая,Совушки ЖК
207,АТОМ,developer,https://ekb.cian.ru/sale/flat/304056042/,Екатеринбург,sale,flat,3,26,2,64.48,-1,0,8550000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","25,1 м²","19,9 м²",73432267519,, Академика Парина,,Чкаловская,Речной квартал
208,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265259/,Екатеринбург,sale,flat,2,21,2,59.59,-1,0,8640000,2023,-1,-1,-1,Чистовая,"23,6 м²","20,2 м²",73432261765,Верх-Исетский, Крауля,170А,Площадь 1905 года,Янтарная Долина
209,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/300009906/,Екатеринбург,sale,flat,2,4,2,52.0,-1,0,8632000,2024,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
210,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611851/,Екатеринбург,sale,flat,3,25,2,68.35,-1,0,8612100,2025,-1,Монолитный,-1,Чистовая,-1,10 м²,73432179066,Орджоникидзевский,,,Проспект Космонавтов,Веер Парк ЖК
211,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611827/,Екатеринбург,sale,flat,2,25,2,68.65,-1,0,8581250,2025,-1,Монолитный,-1,Чистовая,-1,10 м²,73432179066,Орджоникидзевский,,,Проспект Космонавтов,Веер Парк ЖК
212,Формула Строительства,developer,https://ekb.cian.ru/sale/flat/303071915/,Екатеринбург,sale,flat,3,23,2,58.51,-1,0,8717990,2027,-1,-1,-1,Чистовая,-1,-1,73432267428,Верх-Исетский, Волгоградская,197к2,Геологическая,Трилогия
213,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/305675513/,Екатеринбург,sale,flat,2,25,2,59.96,-1,0,8724180,2025,-1,Монолитно-кирпичный,-1,Чистовая,-1,-1,73432261734,Кировский, Студенческая,1Нк4,Уральская,Тёплые кварталы
214,Унистрой,developer,https://ekb.cian.ru/sale/flat/293022488/,Екатеринбург,sale,flat,2,27,2,65.2,-1,0,8773000,2025,-1,-1,-1,Предчистовая,"24,4 м²","18,9 м²",73432260974,Верх-Исетский,,,Площадь 1905 года,Риверсайд ЖК
215,Унистрой,developer,https://ekb.cian.ru/sale/flat/300498191/,Екатеринбург,sale,flat,3,27,2,61.5,-1,0,8795000,2025,-1,-1,-1,Предчистовая,"22,2 м²","21,5 м²",73432260974,Верх-Исетский,,,Площадь 1905 года,Риверсайд ЖК
216,АТОМ,developer,https://ekb.cian.ru/sale/flat/304866516/,Екатеринбург,sale,flat,5,26,2,66.55,-1,0,8750000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","22,3 м²","24,2 м²",73432267519,, Академика Парина,,Чкаловская,Речной квартал
217,Брусника - Екатеринбург,developer,https://ekb.cian.ru/sale/flat/305146936/,Екатеринбург,sale,flat,4,9,2,77.9,-1,0,8860000,2023,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261628,Железнодорожный, Пехотинцев,2В,Уральская,Квартал Депо
218,Брусника - Екатеринбург,developer,https://ekb.cian.ru/sale/flat/306484066/,Екатеринбург,sale,flat,6,17,2,77.2,-1,0,8830000,2024,-1,Монолитно-кирпичный,-1,Предчистовая,34 м²,"21,8 м²",73432261628,Железнодорожный, Пехотинцев,2Д,Машиностроителей,Квартал Депо
219,АТОМ,developer,https://ekb.cian.ru/sale/flat/304053802/,Екатеринбург,sale,flat,1,26,2,77.8,-1,0,9000000,2024,-1,Монолитно-кирпичный,-1,Чистовая,"50,4 м²","22,4 м²",73432261772,Чкаловский, Щербакова,148/2,Ботаническая,River Park
220,Брусника - Екатеринбург,developer,https://ekb.cian.ru/sale/flat/309406935/,Екатеринбург,sale,flat,6,16,2,63.32,-1,0,9020000,2026,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"26,7 м²","18,7 м²",73432261646,Чкаловский, Гастелло,19А,Ботаническая,Шишимская горка
221,Астон,developer,https://ekb.cian.ru/sale/flat/309388484/,Екатеринбург,sale,flat,6,8,2,65.28,-1,0,9090000,2024,-1,-1,-1,Предчистовая,-1,-1,73432179088,Орджоникидзевский,,,Уралмаш,Астон.Время ЖК
222,,,https://ekb.cian.ru/sale/flat/305503554/,Екатеринбург,sale,flat,16,18,2,53.1,-1,0,9080100,2025,-1,Монолитно-кирпичный,-1,Черновая,-1,-1,78003330393,Верх-Исетский, Татищева,105,Площадь 1905 года,Тактика
224,,,https://ekb.cian.ru/sale/flat/295430207/,Екатеринбург,sale,flat,2,23,2,71.75,-1,0,9098315,2025,-1,-1,-1,-1,-1,-1,78003330393,Чкаловский, Ляпустина,1А,Ботаническая,Тишина
225,Проспект Групп,developer,https://ekb.cian.ru/sale/flat/296386423/,Екатеринбург,sale,flat,3,24,2,68.63,-1,0,9031675,2025,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432260878,Кировский, Владимира Высоцкого,7/4,Динамо,Гранит
226,Астон,developer,https://ekb.cian.ru/sale/flat/308013228/,Екатеринбург,sale,flat,7,8,2,57.98,-1,0,9206430,2025,-1,-1,-1,Предчистовая,"21,2 м²",17 м²,73432267635,Октябрьский,,,Геологическая,Астон Реформа ЖК
227,,,https://ekb.cian.ru/sale/flat/305725125/,Екатеринбург,sale,flat,2,25,2,65.8,-1,0,9212000,2027,-1,Монолитно-кирпичный,-1,Чистовая,-1,-1,78003330393,Ленинский, Академика Бардина,21,Чкаловская,Башня Времени
228,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297781/,Екатеринбург,sale,flat,4,18,2,61.5,-1,0,9205500,2026,-1,-1,-1,Без отделки,"28,1 м²","17,7 м²",73432261752,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК
229,Практика,developer,https://ekb.cian.ru/sale/flat/295672633/,Екатеринбург,sale,flat,3,24,2,79.19,-1,0,9291693,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","33,5 м²",20 м²,73432261785,Чкаловский, Молодогвардейцев,1,Ботаническая,М1
230,TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/308041436/,Екатеринбург,sale,flat,18,19,2,59.5,-1,0,9277700,2025,-1,-1,-1,Предчистовая,"28,8 м²","13,2 м²",73432260767,Орджоникидзевский, Учителей,33,Машиностроителей,Основинские кварталы
231,Практика,developer,https://ekb.cian.ru/sale/flat/295766183/,Екатеринбург,sale,flat,3,22,2,75.45,-1,0,9280350,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","27,7 м²","23,2 м²",73432261744,Орджоникидзевский, 40-летия Октября,,Уралмаш,ТЕМП
232,СЗ Да на Амундсена,developer,https://ekb.cian.ru/sale/flat/308158215/,Екатеринбург,sale,flat,24,31,2,52.0,-1,0,9255480,2027,-1,-1,-1,Без отделки,-1,-1,73432261648,Ленинский,,,Чкаловская,ДА на Амундсена ЖК
233,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309612520/,Екатеринбург,sale,flat,2,21,2,78.9,-1,0,9415926,2024,-1,"Панельный, монолитно-кирпичный",-1,Чистовая,-1,-1,73432179079,Орджоникидзевский,переулок Черниговский,20,Уралмаш,Белая башня
234,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611822/,Екатеринбург,sale,flat,25,25,2,60.5,-1,0,9377500,2023,-1,Монолитный,-1,Чистовая,-1,"14,8 м²",73432179066,Орджоникидзевский,проспект Космонавтов,108/2,Проспект Космонавтов,Veer Park
235,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611196/,Екатеринбург,sale,flat,1,19,2,70.8,-1,0,9416400,2025,-1,-1,-1,С отделкой,-1,-1,73432179097,Железнодорожный,,,Уральская,Космос ЖК
236,Астра,developer,https://ekb.cian.ru/sale/flat/302964466/,Екатеринбург,sale,flat,2,12,2,57.9,-1,0,9350850,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","25,2 м²","16,5 м²",73432261639,Верх-Исетский, Татищева,102,Площадь 1905 года,Белый Парус
237,Практика,developer,https://ekb.cian.ru/sale/flat/309071798/,Екатеринбург,sale,flat,5,25,2,59.55,-1,0,9544925,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","26,7 м²",-1,73432261782,Ленинский, Громова,26,Чкаловская,Дом на Ясной
238,Практика,developer,https://ekb.cian.ru/sale/flat/303932573/,Екатеринбург,sale,flat,3,25,2,66.8,-1,0,9529906,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","27,3 м²",-1,73432261743,Орджоникидзевский,,,Проспект Космонавтов,Квартал К3 ЖК
239,Нижнеисетский пруд,developer,https://ekb.cian.ru/sale/flat/308003471/,Екатеринбург,sale,flat,2,25,2,47.06,-1,0,9500000,2026,-1,-1,-1,Без отделки,-1,-1,73432267475,Октябрьский,,,Геологическая,Лувр ЖК
240,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299148570/,Екатеринбург,sale,flat,2,10,2,68.2,-1,0,9619117,2024,-1,Монолитно-кирпичный,-1,Чистовая,-1,-1,73432261651,, Академика Ландау,53/3,Чкаловская,Кварталы Конструктивизма
241,Форум-групп,developer,https://ekb.cian.ru/sale/flat/303820242/,Екатеринбург,sale,flat,7,25,2,68.26,-1,0,9618096,2025,-1,-1,-1,Чистовая,-1,-1,73432261799,Орджоникидзевский, Энтузиастов,,Уралмаш,Доминанта
243,Брусника - Екатеринбург,developer,https://ekb.cian.ru/sale/flat/306484052/,Екатеринбург,sale,flat,11,17,2,85.9,-1,0,9660000,2024,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261628,Железнодорожный, Пехотинцев,2Д,Уральская,Квартал Депо
244,PRINZIP,developer,https://ekb.cian.ru/sale/flat/296638059/,Екатеринбург,sale,flat,9,9,2,64.0,-1,0,9600000,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая",-1,-1,73432261787,Ленинский,,,Чкаловская,Ньютон Парк ЖК
245,Гринвич,representative_developer,https://ekb.cian.ru/sale/flat/309291545/,Екатеринбург,sale,flat,4,8,2,58.33,-1,0,9808190,2025,-1,-1,-1,Чистовая,-1,-1,73432267701,Октябрьский,,,Геологическая,Астон Реформа ЖК
246,,,https://ekb.cian.ru/sale/flat/308520864/,Екатеринбург,sale,flat,2,8,2,55.3,-1,0,9788100,2025,-1,Монолитно-кирпичный,-1,Черновая,-1,-1,78003330393,Кировский, Комсомольская,45/8,Динамо,Традиция
247,Брусника,developer,https://ekb.cian.ru/sale/flat/308816565/,Екатеринбург,sale,flat,5,8,2,64.95,-1,0,9940000,2022,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432261631,Орджоникидзевский, Войкова,15,Проспект Космонавтов,Северный квартал
248,Астон,developer,https://ekb.cian.ru/sale/flat/309438901/,Екатеринбург,sale,flat,14,24,2,63.35,-1,0,9880000,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, черновая, чистовая","22,2 м²","13,8 м²",73432179073,Чкаловский,,,Ботаническая,Астон Сезоны ЖК
249,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611493/,Екатеринбург,sale,flat,8,18,2,58.4,-1,0,9811200,2026,-1,-1,-1,Неизвестно,-1,-1,73432179087,Железнодорожный,,,Уральская,Галактика ЖК
250,Астра,developer,https://ekb.cian.ru/sale/flat/295007675/,Екатеринбург,sale,flat,2,17,2,59.3,-1,0,10021700,2026,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","23,9 м²","16,6 м²",73432261639,Верх-Исетский, Плотников,6А,Площадь 1905 года,Белый Парус
251,Астра,developer,https://ekb.cian.ru/sale/flat/300595072/,Екатеринбург,sale,flat,2,23,2,59.7,-1,0,9999750,2026,-1,-1,-1,Предчистовая,"25,7 м²","16,5 м²",73432267926,Ленинский, Шаумяна,77,Чкаловская,Шаумяна 77
252,Московский Квартал-2,developer,https://ekb.cian.ru/sale/flat/305487736/,Екатеринбург,sale,flat,19,31,2,50.02,-1,0,10004000,2024,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432267702,Ленинский, Печатников,,Чкаловская,Московский квартал
253,СКМ Девелопмент,developer,https://ekb.cian.ru/sale/flat/306995444/,Екатеринбург,sale,flat,16,31,2,61.22,-1,0,10020000,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, чистовая","22,6 м²",-1,73432261733,Кировский,,,Уральская,Б26 ЖК
254,Девелопмент-юг,developer,https://ekb.cian.ru/sale/flat/300976977/,Екатеринбург,sale,flat,2,25,2,77.9,-1,0,10010150,2025,-1,-1,-1,С отделкой,"33,5 м²","21,1 м²",73432261769,, Академика Курчатова,,Чкаловская,А Плюс
255,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611816/,Екатеринбург,sale,flat,25,25,2,66.3,-1,0,10276500,2023,-1,Монолитный,-1,Чистовая,-1,"14,1 м²",73432179066,Орджоникидзевский,проспект Космонавтов,108/2,Проспект Космонавтов,Veer Park
256,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/297076319/,Екатеринбург,sale,flat,3,4,2,61.92,-1,0,10278720,2024,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
257,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/308673963/,Екатеринбург,sale,flat,2,32,2,53.7,-1,0,10265292,2026,-1,-1,-1,Под ключ,"21,7 м²","16,8 м²",73432260921,Центр,Центральный жилрайон,,Уральская,Азина 16 ЖК
258,Atlas Development,developer,https://ekb.cian.ru/sale/flat/307310518/,Екатеринбург,sale,flat,14,33,2,50.2,-1,0,10307767,2025,-1,-1,-1,Предчистовая,"21,7 м²","18,7 м²",73432261880,, Московская,249/2,Чкаловская,Парк Столиц
259,Партнер,developer,https://ekb.cian.ru/sale/flat/302793104/,Екатеринбург,sale,flat,4,4,2,92.7,-1,0,10290000,2024,-1,-1,-1,Чистовая,-1,-1,73432267520,Чкаловский,,,Ботаническая,Совушки ЖК
261,АТОМ,developer,https://ekb.cian.ru/sale/flat/304056000/,Екатеринбург,sale,flat,7,26,2,75.86,-1,0,10250000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","28,2 м²","23,6 м²",73432267519,, Академика Парина,,Чкаловская,Речной квартал
262,Нижнеисетский пруд,developer,https://ekb.cian.ru/sale/flat/308003391/,Екатеринбург,sale,flat,2,25,2,51.7,-1,0,10500000,2026,-1,-1,-1,Без отделки,-1,-1,73432267475,Октябрьский,,,Геологическая,Лувр ЖК
263,ID 93914408,homeowner,https://ekb.cian.ru/sale/flat/309247704/,Екатеринбург,sale,flat,3,5,2,70.5,-1,0,10500000,1962,-1,-1,-1,-1,"52,1 м²","4,5 м²",79827239472,Центр, Тургенева,7,Площадь 1905 года,
264,Брусника,developer,https://ekb.cian.ru/sale/flat/308816539/,Екатеринбург,sale,flat,6,8,2,70.01,-1,0,10640000,2022,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432261631,Орджоникидзевский, Войкова,15,Проспект Космонавтов,Северный квартал
265,Брусника,developer,https://ekb.cian.ru/sale/flat/305955634/,Екатеринбург,sale,flat,2,7,2,80.29,-1,0,10560000,2026,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"33,8 м²","25,6 м²",73432261631,Орджоникидзевский,переулок Механический,11,Проспект Космонавтов,Северный квартал
266,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611667/,Екатеринбург,sale,flat,2,18,2,65.8,-1,0,10528000,2026,-1,-1,-1,Неизвестно,-1,-1,73432179087,Железнодорожный,,,Уральская,Галактика ЖК
267,Премьерстрой,developer,https://ekb.cian.ru/sale/flat/307244550/,Екатеринбург,sale,flat,14,25,2,62.8,-1,0,10610000,2024,-1,Монолитно-кирпичный,-1,-,"23,9 м²","18,2 м²",73432261673,Октябрьский, Куйбышева,100,Площадь 1905 года,Куйбышева 100
268,УГМК-Застройщик,developer,https://ekb.cian.ru/sale/flat/309002102/,Екатеринбург,sale,flat,3,22,2,75.5,-1,0,10666000,2025,-1,-1,-1,Неизвестно,-1,-1,73432179080,Орджоникидзевский,,,Проспект Космонавтов,Изумрудный Бор ЖК
269,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611774/,Екатеринбург,sale,flat,8,18,2,68.0,-1,0,10744000,2026,-1,-1,-1,Неизвестно,-1,-1,73432179087,Железнодорожный,,,Уральская,Галактика ЖК
270,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/309611673/,Екатеринбург,sale,flat,2,18,2,70.3,-1,0,10685600,2026,-1,-1,-1,Неизвестно,-1,-1,73432179087,Железнодорожный,,,Уральская,Галактика ЖК
271,Стройтэк,developer,https://ekb.cian.ru/sale/flat/305071473/,Екатеринбург,sale,flat,3,33,2,66.26,-1,0,10720000,2026,-1,-1,-1,Чистовая,"27,5 м²",-1,73432261879,Кировский, Малышева,145Б,Динамо,Динамика
272,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/297076039/,Екатеринбург,sale,flat,3,4,2,64.38,-1,0,10687080,2025,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
273,Девелопмент-юг,developer,https://ekb.cian.ru/sale/flat/300977662/,Екатеринбург,sale,flat,25,25,2,83.82,-1,0,10728960,2026,-1,-1,-1,С отделкой,"50,4 м²","13,1 м²",73432261769,,,,Чкаловская,А Плюс ЖК
274,Деловой Квартал,developer,https://ekb.cian.ru/sale/flat/300548352/,Екатеринбург,sale,flat,18,25,2,64.71,-1,0,10709379,2026,-1,Монолитно-кирпичный,-1,"Черновая, чистовая","27,3 м²",-1,73432287518,Октябрьский,,,Ботаническая,Премиум Кварталы Маяковка ЖК
275,АТОМ,developer,https://ekb.cian.ru/sale/flat/304157006/,Екатеринбург,sale,flat,7,15,2,62.27,-1,0,10800000,2026,-1,"Монолитно-кирпичный, монолитный, кирпичный",-1,"Предчистовая, чистовая","22,5 м²","18,3 м²",73432261798,Орджоникидзевский,,,Уралмаш,Северное Сияние ЖК
276,СКМ Девелопмент,developer,https://ekb.cian.ru/sale/flat/308326598/,Екатеринбург,sale,flat,3,8,2,70.47,-1,0,10850000,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, чистовая","28,9 м²","20,1 м²",73432261733,Кировский,,,Уральская,Б26 ЖК
277,Брусника,developer,https://ekb.cian.ru/sale/flat/308816453/,Екатеринбург,sale,flat,6,7,2,77.65,-1,0,10970000,2026,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432261631,Орджоникидзевский,переулок Механический,11,Проспект Космонавтов,Северный квартал
278,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/308131429/,Екатеринбург,sale,flat,1,3,2,74.71,-1,0,10800000,2025,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
279,Брусника,developer,https://ekb.cian.ru/sale/flat/308712295/,Екатеринбург,sale,flat,8,9,2,72.03,-1,0,10970000,2027,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261644,,,,Ботаническая,Брусника в Академическом ЖК
280,Брусника,developer,https://ekb.cian.ru/sale/flat/308712382/,Екатеринбург,sale,flat,2,9,2,102.62,-1,0,10900000,2027,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261644,,,,Ботаническая,Брусника в Академическом ЖК
281,АТОМ,developer,https://ekb.cian.ru/sale/flat/304054982/,Екатеринбург,sale,flat,26,26,2,76.85,-1,0,11050000,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","9,6 м²","43,3 м²",73432261849,, Николая Кичигина,7,Чкаловская,NOVA park
282,АТОМ,developer,https://ekb.cian.ru/sale/flat/304054973/,Екатеринбург,sale,flat,26,26,2,76.16,-1,0,11000000,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","26,6 м²","30,7 м²",73432261849,, Николая Кичигина,7,Чкаловская,NOVA park
283,АТОМ,developer,https://ekb.cian.ru/sale/flat/304054671/,Екатеринбург,sale,flat,8,8,2,76.27,-1,0,11000000,2025,-1,-1,-1,С отделкой,"10,9 м²","41,5 м²",73432261849,, Николая Кичигина,10/2,Чкаловская,NOVA park
284,СКМ Девелопмент,developer,https://ekb.cian.ru/sale/flat/306995619/,Екатеринбург,sale,flat,3,15,2,66.79,-1,0,11020000,2025,-1,-1,-1,Чистовая,"27,2 м²",-1,73432261790,Верх-Исетский, Викулова,41Б,Площадь 1905 года,Дом Викулов
285,,,https://ekb.cian.ru/sale/flat/305503550/,Екатеринбург,sale,flat,11,18,2,68.0,-1,0,11152000,2025,-1,Монолитно-кирпичный,-1,Черновая,-1,-1,78003330393,Верх-Исетский, Татищева,105,Площадь 1905 года,Тактика
286,BAZA Development,developer,https://ekb.cian.ru/sale/flat/295455433/,Екатеринбург,sale,flat,11,29,2,62.59,-1,0,11193905,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","25,8 м²","18,1 м²",73432260927,, Шаумяна,11,Чкаловская,Дом 
